id,stage,title,url,one_liner,lang,insight,scene,readable
1,A. 想法 & 验证,Paul Graham - How to Get Startup Ideas,https://paulgraham.com/startupideas.html,最经典的找想法方法论：从自己的问题出发,en,"好的创业想法不是想出来的，而是注意到的。刻意brainstorm会产生听起来合理但实际很差的想法。最好的想法来自创始人自己真实遇到的问题。","你正在试图"想一个创业点子"，列了一堆idea但都没有conviction",yes
2,A. 想法 & 验证,Paul Graham - Do Things That Don't Scale,https://paulgraham.com/ds.html,早期不需要规模化，手动服务10个用户,en,"不是产品要做得极好，而是用户体验要极好。早期手动做事（一个一个找用户、手动帮用户解决问题）不是偷懒，是唯一正确的方式。10%周增长4年后=200万用户。","你觉得'手动做太慢了，要先把产品做好再推广'",yes
3,A. 想法 & 验证,Paul Graham - Startup = Growth,https://paulgraham.com/growth.html,创业和小生意的唯一区别是增长率,en,"创业公司唯一要看的数字是增长率。YC标准：5-7%周增长=好，10%=优秀，1%=还没找到方向。5%周增长4年后月收入$25M，1%周增长同期只有$7900/月。","你不确定自己在做的是一个创业公司还是一个小生意",yes
4,A. 想法 & 验证,Paul Graham 全部 Essays,https://paulgraham.com/articles.html,200+篇 按时间排列 建议从最新的往回读,en,PG文章索引页 不需要单独提取洞察,目录/索引,yes
5,A. 想法 & 验证,YC Request for Startups,https://www.ycombinator.com/rfs,YC 觉得什么问题值得做 每年更新,en,YC官方列出的他们认为值得解决的问题方向 每年更新,你在找方向 想知道什么问题足够大,yes
6,A. 想法 & 验证,YC Spring 2026 RFS × Indie Hacker 视角,https://superframeworks.com/articles/yc-rfs-startup-ideas-indie-hackers-2026,YC 的8个方向中 独立开发者能做的部分,en,YC的8个方向拆解成独立开发者可以切入的具体产品形态,你是solo builder想知道YC的大方向里你能做什么,yes
7,A. 想法 & 验证,Superhuman PMF Engine - Rahul Vohra,https://review.firstround.com/how-superhuman-built-an-engine-to-find-product-market-fit/,如何量化 PMF：40%「非常失望」框架的原始出处,en,"PMF可以量化：问用户'如果明天不能用这个产品你多失望'，40%说'非常失望'才算PMF。Superhuman用这个方法从22%拉到58%。四步法：细分用户→分析反馈→50/50路线图→持续追踪。","你有用户了但不确定是不是真的PMF",yes
8,A. 想法 & 验证,Superhuman PMF Engine 可操作版 (Coda),https://coda.io/@rahulvohra/superhuman-product-market-fit-engine,上面那篇文章的实操模板 可以直接复制使用,en,Rahul Vohra PMF框架的可操作Coda模板 可以直接复制到自己项目用,你想立刻开始量化自己的PMF,yes
9,A. 想法 & 验证,Lenny - Finding PMF in B2B,https://www.lennysnewsletter.com/p/finding-product-market-fit,20+个成功 B2B 创始人的 PMF 故事,en,20+个B2B创始人的真实PMF故事 含具体时间线和转折点,你在做B2B产品 想看别人怎么找到PMF的,yes
10,A. 想法 & 验证,Lenny - How to Know If You've Got PMF,https://www.lennysnewsletter.com/p/how-to-know-if-youve-got-productmarket,PMF 不是二元的 是一个光谱,en,PMF不是有或没有 是一个光谱。多个信号叠加才能判断：留存曲线、NPS、40%测试、有机增长比例,你觉得自己'好像有PMF又好像没有',yes
11,A. 想法 & 验证,Lenny - PMF Framework (Todd Jackson),https://www.lennysnewsletter.com/p/a-framework-for-finding-product-market,First Round 的四步 PMF 框架 通常需要4-6年,en,First Round的数据：达到极致PMF通常需要4-6年。四步框架：假设→原型→MVP→规模化,你刚开始做 想知道PMF的合理时间预期,yes
12,B. 从0到1,Sam Altman - Startup Playbook,https://playbook.samaltman.com/,5000字浓缩创业全流程 从想法到规模化,en,"99%的创业公司死于自杀而不是谋杀。慢的创始人从来不会成功。不要过早招人——员工带来组织复杂度。关注留存而不是注册数。","你在做创业的整体规划 需要一个框架性的概览",yes
13,B. 从0到1,How to Start a Startup (Stanford 课程),https://startupclass.samaltman.com/,20讲视频课 Sam Altman + PG + Peter Thiel 等,en,斯坦福20讲视频课 涵盖想法/产品/增长/融资/团队,你想系统学习创业 愿意投入20小时看视频,yes
14,B. 从0到1,YC Startup School 课程,https://www.startupschool.org/curriculum,7周免费系统课程 YC 15年经验浓缩,en,7周结构化课程 每周1-2小时 YC合伙人和成功创始人授课,你想要一个有节奏的学习路径而不是零散文章,yes
15,B. 从0到1,YC Library（按主题搜索）,https://www.ycombinator.com/library,YC 全部内容 可按主题筛选,en,YC所有文章/视频/播客的统一搜索入口 按fundraising/product/growth等分类,你有一个具体问题想找YC的建议,yes
16,B. 从0到1,indie-dev-toolkit (GitHub),https://github.com/thedaviddias/indie-dev-toolkit,独立开发者工具栈大全,en,精选的独立开发者工具清单 从支付到部署到营销到分析全覆盖,你在选技术栈/工具 不想花时间逐个评估,yes
17,B. 从0到1,Indie Hacker Tools 2025,https://www.builtthisweek.com/blog/indie-hacker-tools-2025,2025最新工具推荐 AI + no-code 为主,en,2025年最新的indie hacker工具推荐 侧重AI和no-code,你想知道现在solo builder都在用什么工具,yes
18,B. 从0到1,Product Hunt 发布完整指南,https://www.demandcurve.com/playbooks/product-hunt-launch,Demand Curve 的 PH 发布实操手册,en,PH发布的完整操作手册 含时间线/准备清单/前3小时策略,你准备在Product Hunt上发布,yes
19,B. 从0到1,PH Launch Checklist 2026,https://calmops.com/indie-hackers/product-hunt-launch-guide/,最新版 PH 发布清单 含算法变化,en,2026最新PH算法变化和发布策略,你想知道PH最新的规则和玩法,yes
20,B. 从0到1,Indie Hackers vs Product Hunt 数据对比,https://awesome-directories.com/blog/indie-hackers-launch-strategy-guide-2025/,IH 转化率 23% vs PH 3%,en,"IH帖子转化率23% vs PH发布转化率3%。最有效策略：先在IH建社区4-6个月 再在PH发布。分享真实收入数字的帖子效果最好。","你在纠结先发PH还是先在IH社区发帖",yes
